Absent,Nepřítomen,
Accounts Payable,Závazky,
Accounts Receivable,Pohledávky,
Active,Aktivní,
active,Aktivní,
Address,Adresa,
address,Adresa,
Administrator,Administrátor,
All,Vše,
Allowed to Transact With,Povoleno obchodovat s,
Allowed to transact with,Povoleno obchodovat s,
Amended From,Opraveno z,
Applicable On Account,Platí pro účet,
Applicable on Account,Platí pro účet,
Appraisal,Hodnocení,
appraisal,Hodnocení,
Approved,Schváleno,
Asset,Majetek,
asset,Majetek,
Asset Category,Kategorie majetku,
Asset Maintenance,Údržba majetku,
Asset Movement,Pohyb majetku,
Asset Repair,Oprava majetku,
Assigned To,Přiřazeno,
Attachments,Přílohy,
Attendance,Docházka,
Availability Of Slots,Dostupnost termínů,
Availability of Slots,Dostupnost termínů,
Bank Account,Bankovní účet,
Bank Reconciliation,Bankovní odsouhlasení,
Batch,Šarže,
Bill of Materials,Kusovník,
Branch,Pobočka,
Campaign,Kampaň,
Cancel,Stornovat,
Cancelled,Stornováno,
cancelled,Stornováno,
Casual Leave,Volno,
Chart of Accounts,Účtová osnova,
Chart of Accounts Importer,Import účtové osnovy,
City,Město,
Closed,Uzavřeno,
Comments,Komentáře,
Company,Firma,
Completed,Dokončeno,
Contact,Kontakt,
Contract,Smlouva,
Cost Center,Nákladové středisko,
Created By,Vytvořil,
Custom Field,Vlastní pole,
Custom Script,Vlastní skript,
Customer,Klient,
Dashboard,Dashboard,
dashboard,Dashboard,
Date of Birth,Datum narození,
Date of Joining,Datum nástupu,
Delete,Smazat,
Delivery Note,Dodací list,
Department,Oddělení,
department,Oddělení,
Designation,Pracovní pozice,
designation,Pracovní pozice,
Disabled,Zakázáno,
Doctype To Sync,DocType k synchronizaci,
Doctype to Sync,DocType k synchronizaci,
Download,Stáhnout,
Draft,Koncept,
Edit,Upravit,
Email Account,E-mailový účet,
Employee,Zaměstnanec,
employee,Zaměstnanec,
Employee Advance,Záloha zaměstnanci,
Employee Checkin,Příchod / odchod,
Employee Grievance,Stížnost zaměstnance,
Employee Group,Skupina zaměstnanců,
Employee Onboarding,Nástup zaměstnance,
Employee Promotion,Povýšení zaměstnance,
Employee Separation,Ukončení pracovního poměru,
Employee Skill,Dovednost zaměstnance,
Employee Transfer,Přeložení zaměstnance,
Employment Type,Typ pracovního poměru,
Enabled,Povoleno,
Exchange Rate,Směnný kurz,
Expense Claim,Vyúčtování výdajů,
Expense Claim Type,Typ výdaje,
Female,Žena,
Fiscal Year,Fiskální rok,
From Date,Od data,
Full-time,Plný úvazek,
Gate Pass,Propustka,
General Ledger,Hlavní kniha,
Global Settings,Globální nastavení,
Goal,Cíl,
goal,Cíl,
Grand Total,Celková částka,
Guest,Host,
Half Day,Půl dne,
Half Day Status,Stav půldenní docházky,
Healthcare,Zdravotnictví,
Holiday List,Seznam svátků,
In Progress,Probíhá,
In Time,Příchod,
Inactive,Neaktivní,
Intern,Stážista,
Interview,Pohovor,
Is Active,Je aktivní,
Item,Položka,
item,Položka,
Item Group,Skupina položek,
Item Lead Time,Dodací lhůta položky,
Item Price,Cena položky,
